name,distance,mass,radius,gravity
Sun,1.5813e-05,1.0,1.0,274.2691614595739
Sirius,8.6,2.1,1.71,196.971799550325
Canopus,310.0,15.0,71.0,0.8161153386021839
Alpha Centauri,4.4,1.1,1.2,209.51116500384123
Arcturus,37.0,1.1,26.0,0.44629597278924754
Vega,25.0,2.2,2.7,82.76984296448046
Capella,43.0,2.6,12.0,4.952082081908975
Rigel,860.0,23.0,78.9,1.01332978543217
Procyon,11.4,1.5,1.9,113.9622554541166
Achernar,144.0,6.7,9.3,21.2464259657665
Hadar,390.0,10.5,8.6,38.937617567949246
Altair,17.0,1.8,1.8,152.37175636642996
Acrux,320.0,18.0,8.9,62.326030883377484
Aldebaran,65.0,1.5,44.0,0.21250193294905007
Antares,600.0,12.0,680.0,0.0071177118025840995
Spica,260.0,11.43,7.47,56.18003500809
Pollux,34.0,1.9,8.8,6.729227876719916
Fomalhaut,25.0,1.9,1.8,160.8368539423427
Mimosa,350.0,16.0,8.4,62.19255361895101
Regulus,77.0,3.8,3.1,108.45190567600218
Adhara,430.0,12.5,14.0,17.491655705329972
Shaula,700.0,14.5,8.8,51.354633796020416
Castor,52.0,2.8,2.4,133.3252868206262
Gacrux,88.0,1.5,84.0,0.058305519017766566
Bellatrix,240.0,8.6,5.8,70.11637302474244
Elnath,130.0,5.0,4.2,77.74069202368877
Miaplacidus,110.0,3.5,6.8,20.759992757536956
Alnair,101.0,4.0,3.4,94.90282403445465
Alioth,81.0,2.9,4.2,45.08960137373948
Alnitak,1050.0,33.0,20.0,22.62720582041485
Dubhe,120.0,4.25,30.0,1.2951599291146547
Mirfak,590.0,8.5,68.0,0.5041712526830403
Sargas,270.0,5.7,26.0,2.3126245862715553
Kaus Australis,140.0,3.5,6.8,20.759992757536956
Avior,630.0,9.0,130.0,0.14606050018557193
Alkaid,104.0,6.1,3.4,144.72680665254333
Menkalinan,81.0,2.39,2.77,85.43097080483021
Atria,390.0,7.0,92.0,0.22682941046987445
Alhena,109.0,2.8,3.3,70.51915997124031
Peacock,180.0,5.9,4.8,70.23385645015132
Alsephina[2],80.0,2.4,2.9,78.26943965552645
Mirzam,500.0,13.5,10.0,37.02633679704249
Polaris,430.0,5.4,39.0,0.973736667903813
Alphard,180.0,3.0,50.0,0.32912299375148873
Mintaka,1200.0,24.0,16.5,24.17799770442525
Scheat,196.0,2.1,95.0,0.0638188630543053
Almaaz,653.0,15.0,140.0,0.20989986846395964
Rasalgethi,360.0,2.8,280.0,0.009795327194984781
Tau Ceti,11.9,0.783,0.893,269.29967110479345
Delta Pavonis,19.92,0.991,1.22,182.61269753187165
Ran,10.48,0.82,0.74,410.70254272616984
Delta Cephei,887.0,4.5,44.5,0.6232603088337749
Titawin,44.25,1.27,1.48,159.02202111653529
61 Cygni,11.41,0.7,0.665,434.1419255394917
Polaris Australis,281.0,1.59,3.74,31.176754176608036
54 Piscium,36.1,0.76,0.94,235.9037604224493
Mira,300.0,1.2,370.0,0.00240411244522636
Lacaille 8760,12.87,0.6,0.51,632.685493563031
II Pegasi,130.0,0.8,3.4,18.98056480689093
Barnard's Star,5.98,0.14,0.2,959.9420651085089
Proxima Centauri,4.25,0.12,0.15,1462.7688611177277
Gliese 1214,47.5,0.16,0.21,995.0808579032163
VB 10,18.72,0.075,0.1,2057.0187109468043
TRAPPIST-1,39.6,0.089,0.12,1695.1357895765334
2MASS J0523-1403,40.3,0.07,0.086,2595.841171196618
CT Chamaeleontis,538.0,0.016227996,0.2260786,87.08091033341185
HN Pegasi,58.3,0.026728464,0.10379063,680.5102711028314
DT Virginis,37.55,0.01193235,0.1130393,256.12032451003483
COROT-3,2220.0,0.02067637608,0.10379063,526.4233025745475
